No.,Code,Handwoven Name,Collection,Origin,Technique,Material,Size (cm),Displayed at,Link URL
1,01/JM,"Gringsing Tenganan, Gringsing Wayang",Heritage Collection,Karangasem/Bali,Double ikat,"Handspun Cotton, natural dyes",198 × 54,Podium,https://beyondtenun.vercel.app/record/01%2FJM
2,02/GW,Tais Feto Biboki,Gallery,Timor Tengah Utara (TTU)/NTT,"Warp ikat, Buna","Cotton, natural dyes",137 × 57,Stage : Left & Right (portable partitions),https://beyondtenun.vercel.app/record/02%2FGW
3,03/GW,Beti Naek Biboki,Gallery,Timor Tengah Utara (TTU)/NTT,Warp Ikat,"Cotton, natural dyes",180 × 97,Stage : Left & Right (portable partitions),https://beyondtenun.vercel.app/record/03%2FGW
4,04/TM,Penetoten,Weave Archive,Adonara/NTT,Supplementary warp,"Cotton, chemical dyes",182 × 74,Stage : Left & Right (portable partitions),https://beyondtenun.vercel.app/record/04%2FTM
5,05/GW,Pahikung Witikau,Gallery,Sumba Timur/NTT,Supplementary warp,"Cotton, chemical dyes",174 × 58.5,Stage : Left & Right (portable partitions),https://beyondtenun.vercel.app/record/05%2FGW
6,06/GW,Kafate Palola,Gallery,Alor/NTT,Warp ikat,"Cotton, chemical dyes",118 × 64,Stage : Left & Right (portable partitions),https://beyondtenun.vercel.app/record/06%2FGW
7,07/TM,Kebat Batang Pakis,Weave Archive,Sintang/Kalimantan Barat,Warp ikat,"Cotton, chemical dyes",144 × 65,Stage : Left & Right (portable partitions),https://beyondtenun.vercel.app/record/07%2FTM
8,08/TM,"Sandung, Ruit, Perahu",Weave Archive,Sintang/Kalimantan Barat,Warp ikat,"Cotton, chemical dyes",134 × 56,Portable Partitions on the side,https://beyondtenun.vercel.app/record/08%2FTM
9,09/TM,Ikat Langa,Weave Archive,Bajawa/NTT,Warp ikat,"Cotton, natural dyes",150 × 56,Portable Partitions on the side,https://beyondtenun.vercel.app/record/09%2FTM
10,10/TM,Gringsing,Weave Archive,Karangasem/Bali,Double ikat,"Handspun Cotton, natural dyes",236 × 43,Portable Partitions on the side,https://beyondtenun.vercel.app/record/10%2FTM
11,11/TM,Penetoten,Weave Archive,Lembata/NTT,Supplementary warp,"Cotton, chemical dyes",189 × 68,Portable Partitions on the side,https://beyondtenun.vercel.app/record/11%2FTM
12,12/TM,Songket,Weave Archive,Sukarara/NTB,Supplementary weft,Cotton-Natural dyes,183 × 106,Portable Partitions on the side,https://beyondtenun.vercel.app/record/12%2FTM
13,13/GW,Lau Witikau,Gallery,Sumba Timur/NTT,Plain weave,"Cotton, nassa shellls, beads",97 × 54,Portable Partitions on the side,https://beyondtenun.vercel.app/record/13%2FGW
14,14/GW,Ei Worapi,Gallery,Sawu/NTT,Warp ikat,"Cotton, natural dyes",160 × 58,Portable Partitions on the side,https://beyondtenun.vercel.app/record/14%2FGW
15,15/JM,Kewatek Nai Telo,Heritage Collection,Lembata/NTT,Warp ikat,"Handspun Cotton, natural dyes",180 × 78,Portable Partitions on the side,https://beyondtenun.vercel.app/record/15%2FJM
16,16/JM,Amanuban,Heritage Collection,Timor Tengah Selatan (TTS)/NTT,Warp ikat,"Cotton, mix dyes",180 × 92,Portable Partitions on the side,https://beyondtenun.vercel.app/record/16%2FJM
17,17/GW,Hanggi,Gallery,Sumba Barat/NTT,Warp ikat,"Cotton, chemical dyes",252 × 112.5,Rear Wall,https://beyondtenun.vercel.app/record/17%2FGW
18,18/GW,Hinggi Kawiru,Gallery,Sumba Timur/NTT,Warp ikat,"Cotton, natural dyes",232 × 123.5,Rear Wall,https://beyondtenun.vercel.app/record/18%2FGW
19,19/GW,Rohubangi - A,Gallery,Sumba Timur/NTT,Supplementary warp,"Cotton, natural dyes",448 × 48.5,Long Side Wall,https://beyondtenun.vercel.app/record/19%2FGW
20,20/GW,Rohubangi - B,Gallery,Sumba Timur/NTT,Supplementary warp,"Cotton, chemical dyes",530 × 37,Long Side Wall,https://beyondtenun.vercel.app/record/20%2FGW
21,21/JM,Tapis Inuh Lampung,Heritage Collection,Lampung/Sumatera Selatan,Ikat & Emroidery,"Cotton, mix dyes",120 × 130,Long Side Wall,https://beyondtenun.vercel.app/record/21%2FJM
22,22/TM-NFS,Sakka-Maroon,Not for Sale,Mamasa/Sulawesi Barat,Supplementary warp,Polyester,864 × 44,Stage : Super Long (Not for Sale),https://beyondtenun.vercel.app/record/22%2FTM-NFS
23,23/TM-NFS,Sakka - Light Blue,Not for Sale,Mamasa/Sulawesi Barat,Supplementary Warp,Polyester,960 × 46,Stage : Super Long (Not for Sale),https://beyondtenun.vercel.app/record/23%2FTM-NFS
24,24/TM-NFS,Sakka - Red,Not for Sale,Mamasa/Sulawesi Barat,Supplementary Warp,Polyester,1000 × 46,Stage : Super Long (Not for Sale),https://beyondtenun.vercel.app/record/24%2FTM-NFS
25,25/TM-NFS,Sakka - Purple,Not for Sale,Mamasa/Sulawesi Barat,Supplementary Warp,Polyester,1010 × 48,Stage : Super Long (Not for Sale),https://beyondtenun.vercel.app/record/25%2FTM-NFS
26,26/TM,Pa'borong-Blue,Weave Archive,Toraja/Sulawesi Selatan,Plain weave,"Cotton, chemical dyes",340 × 55,Registration Table,https://beyondtenun.vercel.app/record/26%2FTM
27,27/TM,Pa'borong-Green,Weave Archive,Toraja/Sulawesi Selatan,Plain weave,"Cotton, chemical dyes",352 × 55,Registration Table,https://beyondtenun.vercel.app/record/27%2FTM
28,28/TM-NFS,Sakka - Red&White -Long,Not for Sale,Mamasa/Sulawesi Barat,Supplementary Warp,Polyester,,Stage : Super Long (Not for Sale),https://beyondtenun.vercel.app/record/28%2FTM-NFS
29,29/TM-NFS,Sakka - Red &White - short,Not for Sale,Mamasa/Sulawesi Barat,Supplementary Warp,Woll,,Stage : Super Long (Not for Sale),https://beyondtenun.vercel.app/record/29%2FTM-NFS
